,Date of 8-day Window,"Centroid of Selection (Lat,Lon)",Number of Pixels,Average AOD,5% Percentile AOD,50% Percentile (Median) AOD,95% Percentile AOD,Percent of Pixels with no Data
0,2012-02-10,"26.63, 86.73",100,0.5852756,0.21220472753047942,0.6417322754859924,0.9812992215156554,0.0
0,2012-02-18,"26.63, 86.73",100,0.54597276,0.09153543598949909,0.625984251499176,0.915354311466217,4.0
0,2012-02-26,"26.63, 86.73",100,0.5695002,0.27047243118286135,0.6141732335090637,0.815551209449768,2.0
0,2012-03-06,"26.63, 86.73",100,0.44086286,0.2529527544975281,0.4488188922405243,0.6496062874794006,4.0
0,2012-03-14,"26.63, 86.73",100,0.55866146,0.23169290721416474,0.6122047305107117,0.811220446228981,0.0
0,2012-03-22,"26.63, 86.73",100,0.74003935,0.38484251499176025,0.7755905389785767,1.0,0.0
0,2012-03-30,"26.63, 86.73",100,0.6287402,0.3531496152281761,0.6220472455024719,0.8503937125205994,0.0
0,2012-03-30,"26.63, 86.73",100,0.6287402,0.3531496152281761,0.6220472455024719,0.8503937125205994,0.0
0,2012-04-07,"26.63, 86.73",100,0.4708005,0.10629921406507492,0.5236220359802246,0.7496062994003295,16.0
0,2012-04-15,"26.63, 86.73",100,0.26216534,0.07086614519357681,0.28740158677101135,0.44921259284019466,0.0
0,2012-04-23,"26.63, 86.73",100,0.45385823,0.25570865869522097,0.47834646701812744,0.599212610721588,0.0
0,2012-05-01,"26.63, 86.73",100,0.39429137,0.22834645211696625,0.4133858382701874,0.5159448742866516,0.0
0,2012-05-09,"26.63, 86.73",100,0.6345669,0.17283465191721917,0.6653543412685394,1.0,0.0
0,2012-05-17,"26.63, 86.73",100,0.6146063,0.3452756032347679,0.665354311466217,0.811220446228981,0.0
0,2012-05-25,"26.63, 86.73",100,0.790823,0.4480314955115319,0.7933070659637451,1.0,16.0
0,2012-05-25,"26.63, 86.73",100,0.790823,0.4480314955115319,0.7933070659637451,1.0,16.0
0,2012-06-02,"26.63, 86.73",100,0.5273443,0.16141732037067413,0.34645670652389526,1.0,45.0
0,2012-06-10,"26.63, 86.73",100,0.98042434,0.9429133832454681,1.0,1.0,64.0
